,release_year,Adult,Kids,Older Kids,Teens,Movie,TV Show,show_duration,movie_duration
0,1993,1,0,0,0,1,0,0,125
1,2021,0,0,0,1,0,1,9,0
2,2021,0,0,0,1,1,0,0,104
3,2021,1,0,0,0,1,0,0,127
4,1998,0,0,0,1,1,0,0,166
5,2010,0,0,0,1,1,0,0,103
6,2013,0,0,0,1,1,0,0,97
7,2013,0,0,0,1,1,0,0,106
8,2017,0,0,0,1,1,0,0,96
9,1975,0,0,1,0,1,0,0,124
10,1978,0,0,1,0,1,0,0,116
11,1983,0,0,1,0,1,0,0,98
12,1987,0,0,0,1,1,0,0,91
13,2012,1,0,0,0,1,0,0,115
14,2001,1,0,0,0,1,0,0,122
15,2002,0,0,0,1,1,0,0,99
16,2003,0,0,0,1,1,0,0,99
17,2004,0,0,1,0,1,0,0,88
18,2001,0,0,1,0,1,0,0,100
19,2011,0,0,0,1,1,0,0,102
20,2008,0,0,1,0,1,0,0,93
21,2009,0,0,1,0,1,0,0,96
22,2007,0,0,1,0,1,0,0,95
23,2010,0,0,0,1,1,0,0,85
24,2005,0,0,1,0,1,0,0,97
25,2006,0,0,1,0,1,0,0,95
26,2004,0,0,1,0,1,0,0,83
27,2018,1,0,0,0,1,0,0,182
28,2021,1,0,0,0,1,0,0,106
29,2020,1,0,0,0,1,0,0,147
30,2019,1,0,0,0,1,0,0,95
31,2018,0,0,1,0,1,0,0,90
32,2018,1,0,0,0,1,0,0,97
33,2017,0,0,0,1,1,0,0,128
34,2018,0,1,0,0,1,0,0,90
35,1994,0,0,0,1,1,0,0,143
36,2009,0,0,1,0,1,0,0,119
37,2015,0,0,1,0,1,0,0,114
38,2017,0,0,0,1,1,0,0,106
39,2003,1,0,0,0,1,0,0,118
40,2020,0,0,0,1,1,0,0,115
41,2004,0,0,1,0,1,0,0,95
42,2005,0,0,0,1,1,0,0,108
43,1982,1,0,0,0,1,0,0,117
44,2015,1,0,0,0,1,0,0,121
45,1994,0,0,0,1,1,0,0,142
46,1993,1,0,0,0,1,0,0,113
47,2003,1,0,0,0,1,0,0,154
48,2001,0,0,1,0,1,0,0,95
49,2010,0,0,0,1,1,0,0,108
50,1989,1,0,0,0,1,0,0,120
51,2014,1,0,0,0,1,0,0,100
52,2015,1,0,0,0,1,0,0,82
53,2007,0,0,0,1,1,0,0,124
54,2011,0,0,0,1,1,0,0,114
55,1990,1,0,0,0,1,0,0,104
56,1991,1,0,0,0,1,0,0,94
57,1994,1,0,0,0,1,0,0,94
58,1998,1,0,0,0,1,0,0,93
59,1999,1,0,0,0,1,0,0,97
60,2005,0,0,0,1,1,0,0,109
61,2016,1,0,0,0,1,0,0,88
62,1986,0,0,1,0,1,0,0,101
63,2010,0,0,1,0,1,0,0,105
64,2018,0,0,0,1,1,0,0,102
65,2003,0,0,0,1,1,0,0,101
66,2010,1,0,0,0,1,0,0,103
67,1996,0,0,0,1,1,0,0,106
68,2017,0,0,0,1,1,0,0,118
69,2003,1,0,0,0,1,0,0,86
70,1999,0,0,0,1,1,0,0,121
71,1984,1,0,0,0,1,0,0,229
72,2008,0,0,1,0,1,0,0,76
73,2001,0,0,1,0,1,0,0,95
74,2006,0,0,0,1,1,0,0,98
75,1997,1,0,0,0,1,0,0,89
76,2017,0,0,0,1,1,0,0,120
77,2003,0,0,0,1,1,0,0,110
78,2015,0,0,0,1,1,0,0,83
79,2003,1,0,0,0,1,0,0,121
80,1980,1,0,0,0,1,0,0,105
81,1986,0,0,0,1,1,0,0,94
82,1961,0,0,0,1,1,0,0,156
83,2014,1,0,0,0,1,0,0,112
84,1996,0,0,0,1,1,0,0,95
85,2008,0,0,0,1,1,0,0,114
86,1993,1,0,0,0,1,0,0,129
87,2008,1,0,0,0,1,0,0,97
88,2021,0,0,0,1,1,0,0,125
89,2017,1,0,0,0,1,0,0,107
90,2008,0,0,0,1,1,0,0,127
91,2008,0,0,0,1,1,0,0,128
92,2021,1,0,0,0,0,1,1,0
93,2006,0,0,0,1,1,0,0,135
94,2004,0,0,0,1,1,0,0,124
95,2003,0,0,0,1,1,0,0,136
96,2005,1,0,0,0,1,0,0,165
97,2016,1,0,0,0,1,0,0,124
98,2012,1,0,0,0,1,0,0,136
99,2001,0,0,0,1,1,0,0,150
100,2010,1,0,0,0,1,0,0,112
101,2008,0,0,0,1,1,0,0,119
102,2010,0,0,0,1,1,0,0,133
103,2013,0,0,0,1,1,0,0,142
104,2011,1,0,0,0,1,0,0,93
105,2014,1,0,0,0,1,0,0,113
106,2007,1,0,0,0,1,0,0,116
107,2011,0,0,0,1,1,0,0,106
108,2011,0,0,0,1,1,0,0,145
109,2020,1,0,0,0,1,0,0,95
110,2014,1,0,0,0,1,0,0,108
111,2020,1,0,0,0,1,0,0,90
112,2021,0,0,1,0,1,0,0,92
113,2021,1,0,0,0,1,0,0,110
114,2011,0,0,0,1,1,0,0,91
115,1995,0,0,0,1,1,0,0,135
116,2018,0,0,1,0,1,0,0,82
117,2014,1,0,0,0,1,0,0,94
118,1993,1,0,0,0,1,0,0,121
119,2021,1,0,0,0,1,0,0,110
120,2021,1,0,0,0,0,1,1,0
121,2021,1,0,0,0,0,1,2,0
122,2021,1,0,0,0,1,0,0,64
123,2021,0,0,1,0,1,0,0,59
124,2016,0,0,0,1,1,0,0,101
125,2020,1,0,0,0,1,0,0,127
126,2021,0,0,0,1,1,0,0,114
127,2013,1,0,0,0,1,0,0,108
128,2012,0,0,0,1,1,0,0,98
129,2021,1,0,0,0,1,0,0,86
130,2021,0,0,0,1,1,0,0,111
131,2021,1,0,0,0,0,1,1,0
132,2020,1,0,0,0,1,0,0,115
133,2021,0,0,0,1,1,0,0,102
134,2021,0,0,1,0,1,0,0,100
135,2013,0,0,0,1,1,0,0,135
136,1985,1,0,0,0,1,0,0,95
137,2021,0,0,0,1,1,0,0,97
138,1993,1,0,0,0,1,0,0,124
139,2016,0,0,1,0,1,0,0,118
140,2021,1,0,0,0,1,0,0,115
141,2012,1,0,0,0,1,0,0,115
142,1995,1,0,0,0,1,0,0,104
143,2010,1,0,0,0,1,0,0,106
144,2011,0,0,0,1,0,1,1,0
145,1992,0,0,1,0,1,0,0,87
146,1993,0,0,1,0,1,0,0,88
147,2007,0,0,0,1,1,0,0,114
148,2016,1,0,0,0,1,0,0,90
149,2002,0,0,0,1,1,0,0,142
150,2009,0,0,1,0,1,0,0,90
151,1999,1,0,0,0,1,0,0,105
152,1986,0,0,0,1,1,0,0,103
153,2019,0,0,0,1,1,0,0,116
154,2006,1,0,0,0,1,0,0,113
155,2007,1,0,0,0,1,0,0,99
156,2010,0,0,0,1,1,0,0,148
157,1999,1,0,0,0,1,0,0,189
158,1995,0,0,0,1,1,0,0,97
159,1991,0,0,0,1,1,0,0,102
160,1994,0,0,1,0,1,0,0,99
161,2015,0,0,1,0,1,0,0,85
162,2008,1,0,0,0,1,0,0,112
163,2009,0,0,1,0,1,0,0,91
164,2019,0,0,0,1,1,0,0,91
165,2003,0,0,0,1,1,0,0,141
166,2000,0,0,0,1,1,0,0,130
167,2004,1,0,0,0,1,0,0,98
168,2016,1,0,0,0,1,0,0,105
169,2013,1,0,0,0,1,0,0,101
170,1991,1,0,0,0,1,0,0,105
171,2011,1,0,0,0,1,0,0,118
172,2010,0,0,0,1,1,0,0,97
173,2004,1,0,0,0,1,0,0,102
174,1995,0,0,0,1,1,0,0,114
175,2000,1,0,0,0,1,0,0,111
176,2010,0,0,0,1,1,0,0,125
177,2014,0,0,0,1,1,0,0,103
178,2013,0,0,1,0,1,0,0,94
179,2021,1,0,0,0,1,0,0,92
180,2021,0,0,0,1,0,1,7,0
181,2012,1,0,0,0,1,0,0,143
182,2019,1,0,0,0,1,0,0,117
183,2012,1,0,0,0,1,0,0,165
184,2021,0,0,1,0,1,0,0,91
185,2021,1,0,0,0,1,0,0,111
186,2013,0,0,1,0,1,0,0,64
187,2009,0,0,1,0,1,0,0,68
188,2021,1,0,0,0,1,0,0,99
189,2020,0,0,0,1,1,0,0,105
190,2020,1,0,0,0,1,0,0,102
191,2021,0,0,0,1,1,0,0,91
192,2021,1,0,0,0,1,0,0,88
193,2021,1,0,0,0,1,0,0,101
194,2017,1,0,0,0,1,0,0,94
195,2017,0,0,0,1,1,0,0,105
